token,field,value
cvetko_golar,author,Cvetko Golar
dela_leta_1904,year,1904
ivan_franke,author,Ivan Franke
josip_regali,author,Josip Regali
podlistki,genre,podlistki
slovenski_narod,publication,Slovenski narod
abecedniki,category,abecedniki
alojz_ihan,author,Alojz Ihan
alojz_knafelc,author,Alojz Knafelc
planinski_vestnik,publication,Planinski vestnik
dela_leta_1907,year,1907
potopis,genre,potopis
alpinizem,category,alpinizem
alpska_poskocnica,genre,alpska poskočnica
ameriski_avtorji,category,ameriški avtorji
angleski_avtorji,category,angleški avtorji
anonimno,author,anonimno
dela_leta_1883,year,1883
kratka_proza,genre,kratka proza
anton_stres,author,Anton Stres
astronomija,category,astronomija
avstrijski_avtorji,category,avstrijski avtorji
avstrijski_duhovniki,category,avstrijski duhovniki
avtobiografije,genre,avtobiografije
avtobiografski_roman,genre,avtobiografski roman
avtorice,category,avtorice
avtorji,category,avtorji
bajke,genre,bajke
balade,genre,balade
bengalski_avtorji,category,bengalski avtorji
besedilne_variante,category,besedilne variante
biografije,genre,biografije
bizantinski_avtorji,category,bizantinski avtorji
casniki,category,časniki
casopisi,category,časopisi
cebelarstvo,category,čebelarstvo
ceski_avtorji,category,češki avtorji
ceski_duhovniki,category,češki duhovniki
crna_kronika,genre,črna kronika
crtica,genre,črtica
damijan_de_veuster,author,Damijan de Veuster
dekliski_list,publication,Dekliški list
dela_leta_1184,year,1184
dela_leta_1294,year,1294
dela_leta_1300,year,1300
dela_leta_1302,year,1302
dela_leta_1415,year,1415
dela_leta_1417,year,1417
dela_leta_1418,year,1418
dela_leta_1435,year,1435
dela_leta_1439,year,1439
dela_leta_1441,year,1441
dela_leta_1452,year,1452
dela_leta_1484,year,1484
dela_leta_1854,year,1854
dela_leta_1855,year,1855
dela_leta_1861,year,1861
dela_leta_1868,year,1868
jakob_alesovec,author,Jakob Alešovec
laibacher_mysterien,title,Laibacher Mysterien
dela_leta_1873,year,1873
dela_leta_1874,year,1874
dela_leta_1875,year,1875
dela_leta_1876,year,1876
dela_leta_1880,year,1880
dela_leta_1881,year,1881
dela_leta_1882,year,1882
dela_leta_1884,year,1884
dela_leta_1885,year,1885
dela_leta_1886,year,1886
dela_leta_1887,year,1887
dela_leta_1888,year,1888
dela_leta_1889,year,1889
dela_leta_1891,year,1891
dela_leta_1892,year,1892
dela_leta_1893,year,1893
dela_leta_1894,year,1894
dela_leta_1896,year,1896
dela_leta_1897,year,1897
dela_leta_1898,year,1898
ivan_cankar,author,Ivan Cankar
slovenec,publication,Slovenec
dela_leta_1899,year,1899
zofka_kveder,author,Zofka Kveder
edinost,publication,Edinost
dela_leta_1900,year,1900
dela_leta_1901,year,1901
dela_leta_1902,year,1902
dela_leta_1903,year,1903
dela_leta_1905,year,1905
dela_leta_1906,year,1906
dela_leta_1908,year,1908
dela_leta_1909,year,1909
dela_leta_1910,year,1910
dela_leta_1911,year,1911
dela_leta_1912,year,1912
dela_leta_1914,year,1914
dela_leta_1915,year,1915
dela_leta_1916,year,1916
dela_leta_1917,year,1917
dela_leta_1918,year,1918
dela_leta_1919,year,1919
dela_leta_1921,year,1921
dela_leta_1922,year,1922
dela_leta_1923,year,1923
dela_leta_1924,year,1924
dela_leta_1925,year,1925
dela_leta_1926,year,1926
dela_leta_1927,year,1927
dela_leta_1928,year,1928
dela_leta_1929,year,1929
dela_leta_1930,year,1930
dela_leta_1931,year,1931
dela_leta_1932,year,1932
maksim_gorki,author,Maksim Gorki
tone_cufar,author,Tone Čufar
knjizevnost,category,književnost
jus_kozak,author,Juš Kozak
dela_leta_1933,year,1933
prevodi,category,prevodi
mile_klopcic,author,Mile Klopčič
miroslav_krleza,author,Miroslav Krleža
dela_leta_1934,year,1934
dela_leta_1935,year,1935
joze_kranjc,author,Jože Kranjc
ivan_potrc,author,Ivan Potrč
bratko_kreft,author,Bratko Kreft
ivo_brncic,author,Ivo Brnčič
ljuba_prenner,author,Ljuba Prenner
v_slovenscini,category,v slovenščini
romani,genre,romani
bivanjska_tematika,category,bivanjska tematika
ljubezenska_tematika,category,ljubezenska tematika
zena_in_dom,publication,Zena in dom
dela_leta_1936,year,1936
dela_leta_1937,year,1937
dela_leta_1938,year,1938
dela_leta_1939,year,1939
dela_leta_1940,year,1940
dela_leta_1941,year,1941
dela_leta_1942,year,1942
dela_leta_1943,year,1943
dela_leta_1944,year,1944
dela_leta_1948,year,1948
dela_leta_1952,year,1952
dela_leta_1954,year,1954
dela_leta_1957,year,1957
dela_leta_1974,year,1974
dela_leta_2015,year,2015
dela_leta_2016,year,2016
dela_leta_2018,year,2018
dela_v_anglescini,language,dela v angleščini
dela_v_bohoricici,language,dela v bohoričici
dela_v_francoscini,language,dela v francoščini
dela_v_hrvascini,language,dela v hrvaščini
dela_v_italijanscini,language,dela v italijanščini
dela_v_latinscini,language,dela v latinščini
dela_v_madzarscini,language,dela v madžarščini
dela_v_nemscini,language,dela v nemščini
dela_v_portugalscini,language,dela v portugalščini
dela_v_prekmurscini,language,dela v prekmurščini
dela_v_srbohrvascini,language,dela v srbohrvaščini
dela_v_srbscini,language,dela v srbščini
ivan_strojar,author,Ivan Strojar
vinko_kosak,author,Vinko Kosak
ivan_molek,author,Ivan Molek
dile_klopcic,author,Dile Klopčič
peter_zdovc,author,Peter Zdovc
delo,publication,Delo
detektivski_romani,genre,detektivski romani
dim_zupan,author,Dim Zupan
distopije,genre,distopije
dnevniki,genre,dnevniki
dragotinkette,author,Dragotin Kette
dramatika_za_otroke,genre,dramatika za otroke
drame,genre,drame
dela_leta_1890,year,1890
ekspresionizem,category,ekspresionizem
elegije,genre,elegije
enodejanke,genre,enodejanke
erotika,category,erotika
eseji,genre,eseji
etnologija,category,etnologija
feljtonski_romani,genre,feljtonski romani
folklorna_povest,genre,folklorna povest
fran_drenik,author,Fran Drenik
fran_milcinski,author,Fran Milčinski
franc_jozef_i_habsburskolotarinski,author,Franc Jožef I. Habsburško-Lotarinški
franc_pintaricsvaba,author,Franc Pintarič-Švaba
francoski_avtorji,category,francoski avtorji
franja_tavcar,author,Franja Tavčar
genologija,category,genologija
geografija,category,geografija
glasnik_slovenski,publication,Glasnik slovenski
gledalisce,category,gledališče
gorenjski_glas,publication,Gorenjski glas
grski_avtorji,category,grški avtorji
grski_duhovniki,category,grški duhovniki
gustav_pflegermoravsky,author,Gustav Pflegermoravsky
himne,genre,himne
hrvaski_avtorji,category,hrvaški avtorji
hrvaski_duhovniki,category,hrvaški duhovniki
humor,category,humor
humoreska,genre,humoreska
humoreske,genre,humoreske
igo_gruden,author,Igo Gruden
poezija,category,poezija
igra_s_petjem,genre,igra s petjem
italijanski_avtorji,category,italijanski avtorji
italijanski_duhovniki,category,italijanski duhovniki
ivo_samec,author,Ivo Samec
ivo_trost,author,Ivo Trost
izraelski_avtorji,category,izraelski avtorji
izraelski_duhovniki,category,izraelski duhovniki
janko_kersnik,author,Janko Kersnik
prosveta,category,prosveta
jeanfrancois_bayard,author,Jean-François Bayard
jezikoslovje,category,jezikoslovje
josip_stritar,author,Josip Stritar
josipina_urbancic_turnograjska,author,Josipina Urbančič Turnograjska
josipkostanjevec,author,Josip Kostanjevec
jozef_ii_habsburskolotarinski,author,Franc Jožef II. Habsburško-Lotarinški
jubilejni_clanki,genre,jubilejni članki
jules_de_premaray,author,Jules De Premaray
juskozak,author,Juš Kozak
karel_chodounsky_ml,author,Karel Chodounsky ml.
karel_destovnik_kajuh,author,Karel Destovnik Kajuh
karl_johann_ritter_von_braunthal_braun,author,Karl Johann Ritter Von Braunthal Braun
katul,author,Katul
kekec,title,Kekec
kette,author,Dragotin Kette
klinar,author,Stanko Klinar
kmetijski_list,publication,Kmetijski list
kmetijstvo,category,kmetijstvo
knjige,category,knjige
kolportazni_romani,genre,kolportažni romani
koncilski_odloki,genre,koncilski odloki
koroska_knjizevnost,category,koroška književnost
kratka_sodobna_pravljica,genre,kratka sodobna pravljica
kratka_zgodba,genre,kratka zgodba
kratke_slovenske_sodobne_pravljice,genre,kratke slovenske sodobne pravljice
kratke_sodobne_pravljice,genre,kratke sodobne pravljice
kriminalni_romani,genre,kriminalni romani
kritike,genre,kritike
kronika,genre,kronika
lambertthiboust,author,Lambert-Thiboust
legendarne_pesmi,genre,legendarne pesmi
leposlovje,category,leposlovje
literarna_pratika,publication,Literarna pratika
literarna_teorija,category,literarna teorija
literarna_zgodovina,category,literarna zgodovina
literarne_kritike,genre,literarne kritike
literatura_o_beguncih,category,literatura o beguncih
liturgija,category,liturgija
ljubezenska_povest,genre,ljubezenska povest
ljubezenski_romani,genre,ljubezenski romani
ljubljanski_casnik,publication,Ljubljanski časnik
ljudska_povest,genre,ljudska povest
ljudske_igre,genre,ljudske igre
ljudske_pravljice,genre,ljudske pravljice
ljudske_pripovedi,genre,ljudske pripovedi
ljudsko_besedilo,genre,ljudsko besedilo
ljudsko_slovstvo,category,ljudsko slovstvo
loski_razgledi,publication,Loški razgledi
louisbenoit_picard,author,Louis-Benoît Picard
lovske_povesti,genre,lovske povesti
lutkovna_igra,genre,lutkovna igra
manifesti,genre,manifesti
marijana_zeljeznovakokalj,author,Marijana Zeljeznova Kokalj
mario_de_andrade,author,Mario De Andrade
meteorologija,category,meteorologija
michal_balucki,author,Michal Balucki
mladinska_dela,category,mladinska dela
mladinska_knjizevnost,category,mladinska književnost
mladinska_poezija,genre,mladinska poezija
mladinska_prozav,genre,mladinska proza
mladinske_pripovedi,genre,mladinske pripovedi
moderna,category,moderna
nabozna_besedila,category,nabožna besedila
nagrobni_napisi,category,nagrobni napisi
namecek_nemskih_in_ponemcenih_poezij,category,nameček nemskih in ponemčenih poezij
naravoslovje,category,naravoslovje
narecna_besedila,category,narečna besedila
nedokoncana_besedila,category,nedokončana besedila
nekrologi,genre,nekrologi
nemska_knjizevnost,category,nemska književnost
nemski_avtorji,category,nemski avtorji
nemski_duhovniki,category,nemski duhovniki
nezbrane_balade_in_romance,category,nezbrane balade in romance
nezbrane_lirske_pesmi,category,nezbrane lirske pesmi
nezbrane_nemske_pesmi,category,nezbrane nemske pesmi
nezbrani_napisi,category,nezbrani napisi
nezbrani_zapisi,category,nezbrani zapisi
nezbrano_delo_franceta_preserna,category,nezbrano delo Franceta Prešerna
neznan_avtor,author,Neznan avtor
nizozemski_avtorji,author,Nizozemski Avtorji
norveski_avtorji,author,Norveski Avtorji
note,category,note
notno_gradivo,category,notno gradivo
objavljenje_nezbrane_pesmi,category,objavljene nezbrane pesmi
ocene,genre,ocene
operete,genre,operete
osbnoizpovedne_pesmi,genre,osebnoizpovedne pesmi
osebno_izpovedne_pesmi,genre,osebnoizpovedne pesmi
osebnoizpovedna_poezija,genre,osebnoizpovedna poezija
osebnoizpovedne_pesmi,genre,osebnoizpovedne pesmi
pamfleti,genre,pamfleti
papeske_bule,genre,papeške bule
papeske_okroznice,genre,papeške okrožnice
parabola,genre,parabola
parodije,genre,parodije
partiture,genre,partiture
partizanska_knjizevnost,category,partizanska književnost
partizanski_romani,genre,partizanski romani
pesmi_z_akrostihom,genre,pesmi z akrostihom
pesmi_za_otroke,genre,pesmi za otroke
pesmi_za_otrooke,genre,pesmi za otroke
pesniske_zbirke,category,pesniške zbirke
piratske_povesti,genre,piratske povesti
pisma_svetega_hieronima,category,pisma svetega Hieronima
j_mandelj,author,J. Mandelj
potopisi,genre,potopisi
radivoj_peterlin,author,Radivoj Peterlin
fran_orozen,author,Fran Orozen
ivan_engelsberger,author,Ivan Engelsberger
m_pirnat,author,M Pirnat
ivan_lampet,author,Ivan Lampet
ljudevit_stiasny,author,Ljudevit Stiasny
podlistek,genre,podlistek
anton_svigelj,author,Anton Svigelj
ana_fabijan,author,Ana Fabijan
a_zagar,author,A. Zagar
josip_knaflic,author,Josip Knaflic
rado_murnik,author,Rado Murnik
poezija_v_prozi,genre,poezija v prozi
poezija_z_otroke,genre,poezija z otroke
poezija_za_malcke,genre,poezija za malčke
poezija_za_mladino,genre,poezija za mladino
poezija_za_otroke,genre,poezija za otroke
poezije_3,title,Poezije 3
poezije_za_otroke,genre,poezije za otroke
pokrajinska_povest,genre,pokrajinska povest
pokrajinske_povesti,genre,pokrajinske povesti
politicna_satira,genre,politična satira
politicni_romani,genre,politični romani
politika,category,politika
poljski_avtorji,author,Poljski avtorji
postmodernizem,category,postmodernizem
potopisna_novela,genre,potopisna novela
povest_iz_kmetskega_zivljenja,genre,povest iz kmetskega življenja
pridige,genre,pridige
prilike_in_povesti,genre,prilike in povesti
priredbe,genre,priredbe
prirocniki,genre,priročniki
privaten_tisk,category,privaten tisk
propagandne_brosure,genre,propagandne brošure
protestantizem,category,protestantizem
proza_z_otroke,genre,proza z otroke
proza_za_mladino,genre,proza za mladino
proza_za_odrasle,genre,proza za odrasle
proza_za_otroke,genre,proza za otroke
razsvetljenstvo,category,razsvetljenstvo
realizem_na_slovenskem,category,realizem na slovenskem
referati,genre,referati
rokopisi,genre,rokopisi
romance,genre,romance
roparska_povest,genre,roparska povest
ruski_avtorji,author,Ruski avtorji
s_semenovic,author,S. Semenovic
salamun,author,Tomaž Šalamun
satira,genre,satira
slovenska_dramatika,category,slovenska dramatika
slovenska_knizevnost,category,slovenska književnost
slovenska_knjizevnost,category,slovenska književnost
slovenska_knjizevost,category,slovenska književnost
slovenska_mladinska_leposlovna_besedila,category,slovenska mladinska leposlovna besedila
slovenska_poezija,category,slovenska poezija
slovenske_kratke_pravljice,genre,slovenske kratke pravljice
slovenske_ljudske_pesmi,genre,slovenske ljudske pesmi
slovenske_ljudske_pravljice,genre,slovenske ljudske pravljice
slovenske_pravljice,genre,slovenske pravljice
slovenske_vecrnice,genre,slovenske večernice
slovenske_zbirke,category,slovenske zbirke
slovenski_avtorji,author,Slovenski avtorji
slovenski_duhovniki,author,Slovenski duhovniki
slovenski_list,publication,Slovenski list
slovenski_pesniki,author,Slovenski pesniki
slovenski_pravnik,publication,Slovenski pravnik
slovenski_romani,category,slovenski romani
slovensko_razsvetljenstvo,category,slovensko razsvetljenstvo
sodobnost,publication,Sodobnost
srbski_avtorji,author,Srbski avtorji
srednje_dolga_proza,genre,srednje dolga proza
strip,genre,strip
svedski_avtorji,author,Švedski avtorji
taboriscna_poezija,genre,taboriščna poezija
teatrologija,category,teatrologija
tilka_lamprehtdusica,author,Tilka Lampreht Dušica
tine_debeljak,author,Tine Debeljak
tragedije,genre,tragedije
tragikomedije,genre,tragikomedije
travestije,genre,travestije
trdina,author,Janez Trdina
uganke_za_otroke,genre,uganke za otroke
utopija,genre,utopija
pripovedna_proza,genre,pripovedna proza
vecerniska_povest,genre,večerniška povest
zabavljivi_napisi,category,zabavljivi napisi
zakoni,category,zakoni
zaloigra,genre,žaloigra
zbirka,category,zbirka
zbirka_slovenskih_mladinskih_leposlovnih_besedil,category,zbirka slovenskih mladinskih leposlovnih besedil
zbirke,category,zbirke
zbrana_dela_slovenskih_pesnikov_in_pisateljev,category,zbrana dela slovenskih pesnikov in pisateljev
zbrano_delo_ii,title,Zbrano delo II
zenski_casopisi,category,zenski časopisi
zenski_roman,category,zenski roman
zgibanka,category,zgibanka
zgodovinska_povest,genre,zgodovinska povest
zgodovinske_novele,genre,zgodovinske novele
zgodovinske_povesti,genre,zgodovinske povesti
zgodovinski_roman,genre,zgodovinski roman
zgodovinski_romani,genre,zgodovinski romani
zois,author,Žiga Zois